imbgeco,imueclt,imwbcnt,imsmetn,imdfetn,impcntr,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,lrscale,stflife,rlgdgr,gndr,mean_MigEnrich,mean_MigAllow,mean_Trust,lrscale_dummy
6,3,5,2,2,3,3,2,7,3,2,1,4,5,6,6,Male,4.666666666666667,2.3333333333333335,3.142857142857143,middle
5,5,5,3,3,3,2,2,7,5,5,2,5,NA,9,5,Male,5,3,4,NA
5,4,4,3,3,3,4,3,5,5,3,3,5,4,7,3,Male,4.333333333333333,3,4,middle
7,6,9,4,3,3,8,8,9,4,4,7,NA,NA,8,9,Female,7.333333333333333,3.3333333333333335,6.666666666666667,NA
8,8,8,4,4,4,5,7,7,5,5,5,5,3,8,0,Female,8,4,5.571428571428571,middle
9,8,7,4,4,4,6,4,1,4,3,3,4,NA,9,0,Female,8,4,3.5714285714285716,NA
5,7,4,3,2,3,5,4,6,5,4,3,3,5,9,3,Male,5.333333333333333,2.6666666666666665,4.285714285714286,middle
4,4,3,4,3,2,6,7,9,3,3,3,4,6,4,2,Male,3.6666666666666665,3,5,middle
8,9,9,4,4,4,7,9,8,7,7,7,8,3,9,0,Female,8.666666666666666,4,7.571428571428571,middle
5,6,5,3,3,2,7,8,8,6,6,6,7,6,8,2,Male,5.333333333333333,2.6666666666666665,6.857142857142857,middle
NA,7,5,4,4,2,5,5,7,7,7,3,NA,5,8,4,Female,6,3.3333333333333335,5.666666666666667,middle
3,5,5,4,4,4,4,5,5,3,3,4,4,3,9,2,Female,4.333333333333333,4,4,middle
7,7,5,3,3,2,5,8,8,6,4,6,6,4,9,2,Female,6.333333333333333,2.6666666666666665,6.142857142857143,middle
9,10,6,4,4,4,10,9,9,10,6,8,8,4,9,1,Female,8.333333333333334,4,8.571428571428571,middle
8,3,4,3,3,2,6,6,7,5,5,5,3,5,8,0,Male,5,2.6666666666666665,5.285714285714286,middle
5,7,5,3,3,4,7,6,8,5,6,6,6,4,8,6,Female,5.666666666666667,3.3333333333333335,6.285714285714286,middle
8,7,6,3,3,3,7,9,7,6,6,6,7,3,9,2,Male,7,3,6.857142857142857,middle
7,9,5,3,4,4,4,7,7,4,3,5,5,6,10,0,Female,7,3.6666666666666665,5,middle
6,6,6,3,3,3,5,6,6,3,3,7,7,5,10,9,Male,6,3,5.285714285714286,middle
5,6,4,3,3,2,10,6,5,6,7,5,6,5,8,7,Female,5,2.6666666666666665,6.428571428571429,middle
5,4,4,4,3,2,4,5,4,3,5,5,5,3,8,5,Male,4.333333333333333,3,4.428571428571429,middle
0,3,0,3,2,1,NA,7,8,2,0,6,NA,0,7,2,Male,1,2,4.6,left
0,1,0,3,2,1,0,0,2,0,0,0,2,3,8,1,Male,0.3333333333333333,2,0.5714285714285714,middle
7,7,6,4,3,4,2,4,6,1,1,0,6,3,6,4,Male,6.666666666666667,3.6666666666666665,2.857142857142857,middle
9,8,6,4,3,3,4,6,9,4,4,6,6,2,8,3,Male,7.666666666666667,3.3333333333333335,5.571428571428571,middle
9,10,8,4,4,4,9,10,10,7,6,9,7,4,10,8,Male,9,4,8.285714285714286,middle
9,NA,NA,4,4,3,NA,NA,3,3,3,3,NA,NA,2,7,Female,9,3.6666666666666665,3,NA
3,5,2,4,3,3,3,7,7,2,3,4,3,0,7,0,Female,3.3333333333333335,3.3333333333333335,4.142857142857143,left
7,6,NA,4,3,4,5,7,7,1,1,6,9,5,7,8,Male,6.5,3.6666666666666665,5.142857142857143,middle
9,10,10,3,3,3,8,10,10,7,7,9,9,5,8,0,Male,9.666666666666666,3,8.571428571428571,middle
7,10,5,4,4,4,6,8,8,5,6,7,7,4,9,3,Female,7.333333333333333,4,6.714285714285714,middle
3,8,7,3,3,3,6,8,7,3,4,2,3,4,9,6,Female,6,3,4.714285714285714,middle
7,6,6,3,3,3,3,3,4,2,3,0,1,8,8,6,Female,6.333333333333333,3,2.2857142857142856,right
7,6,7,3,3,3,6,4,6,4,6,6,4,5,9,8,Female,6.666666666666667,3,5.142857142857143,middle
8,8,3,3,3,3,6,6,8,4,3,5,6,6,8,0,Female,6.333333333333333,3,5.428571428571429,middle
5,6,5,4,3,2,8,10,9,6,NA,6,6,8,9,7,Male,5.333333333333333,3,7.5,right
4,5,5,4,4,4,5,3,10,5,5,4,4,5,10,10,Female,4.666666666666667,4,5.142857142857143,middle
6,5,5,3,3,2,6,6,7,4,4,5,6,5,8,0,Male,5.333333333333333,2.6666666666666665,5.428571428571429,middle
10,10,10,4,3,4,10,5,10,10,8,10,10,10,10,10,Male,10,3.6666666666666665,9,right
5,5,5,2,2,2,0,10,10,0,0,3,3,0,10,5,Male,5,2,3.7142857142857144,left
5,7,7,3,3,3,8,6,6,8,8,8,6,NA,8,5,Female,6.333333333333333,3,7.142857142857143,NA
3,8,7,4,4,4,5,5,8,6,4,3,3,4,8,4,Female,6,4,4.857142857142857,middle
5,6,4,3,2,2,10,10,10,7,6,7,7,5,9,9,Female,5,2.3333333333333335,8.142857142857142,middle
1,0,5,2,3,1,2,3,7,3,1,0,1,5,5,5,Female,2,2,2.4285714285714284,middle
8,3,4,2,2,2,6,8,8,2,0,2,2,6,9,6,Male,5,2,4,middle
7,8,6,3,3,3,3,5,5,3,3,3,2,5,9,2,Female,7,3,3.4285714285714284,middle
8,9,7,4,4,3,9,7,7,5,5,5,6,3,9,5,Female,8,3.6666666666666665,6.285714285714286,middle
5,8,5,4,4,4,3,7,7,2,2,5,1,NA,10,2,Female,6,4,3.857142857142857,NA
5,4,8,3,2,2,2,3,9,2,3,3,3,3,9,5,Male,5.666666666666667,2.3333333333333335,3.5714285714285716,middle
5,5,5,4,4,4,5,8,9,4,5,8,8,0,9,0,Female,5,4,6.714285714285714,left
5,5,2,2,2,2,6,8,8,6,4,5,3,5,7,8,Female,4,2,5.714285714285714,middle
10,8,5,2,2,2,7,10,9,4,4,1,2,6,8,1,Male,7.666666666666667,2,5.285714285714286,middle
8,8,8,4,4,4,5,7,8,4,4,5,5,2,7,0,Male,8,4,5.428571428571429,middle
5,6,5,3,2,3,4,6,7,1,1,1,NA,5,3,2,Male,5.333333333333333,2.6666666666666665,3.3333333333333335,middle
9,9,7,4,3,3,5,8,9,5,4,6,5,4,8,3,Female,8.333333333333334,3.3333333333333335,6,middle
7,9,8,4,4,4,7,9,7,4,3,4,7,2,8,4,Male,8,4,5.857142857142857,middle
0,3,3,2,2,2,7,5,9,7,7,6,7,8,5,7,Male,2,2,6.857142857142857,right
0,3,3,4,3,3,5,5,7,4,3,5,5,5,8,3,Male,2,3.3333333333333335,4.857142857142857,middle
9,9,9,4,4,4,8,8,7,4,4,7,10,10,9,0,Male,9,4,6.857142857142857,right
1,1,1,2,2,2,6,8,8,4,5,4,3,5,8,7,Male,1,2,5.428571428571429,middle
9,6,5,3,3,3,8,9,6,3,3,2,4,3,9,0,Male,6.666666666666667,3,5,middle
8,8,8,4,4,4,6,6,9,6,7,8,3,3,10,8,Male,8,4,6.428571428571429,middle
3,7,5,4,2,2,8,7,9,4,1,7,0,8,8,9,Male,5,2.6666666666666665,5.142857142857143,right
7,7,6,4,3,2,7,7,7,3,5,8,3,6,9,8,Female,6.666666666666667,3,5.714285714285714,middle
5,5,4,3,3,3,4,6,7,3,3,4,NA,6,4,0,Female,4.666666666666667,3,4.5,middle
6,6,6,3,3,2,6,7,6,7,7,7,8,5,5,6,Male,6,2.6666666666666665,6.857142857142857,middle
4,3,5,3,3,3,4,7,6,0,2,4,4,5,7,6,Male,4,3,3.857142857142857,middle
5,6,5,4,3,3,3,4,8,3,4,3,5,5,8,0,Female,5.333333333333333,3.3333333333333335,4.285714285714286,middle
NA,4,8,NA,3,4,8,7,9,7,5,4,5,NA,8,5,Female,6,3.5,6.428571428571429,NA
9,6,8,4,3,4,10,0,10,0,0,0,0,5,5,5,Male,7.666666666666667,3.6666666666666665,2.857142857142857,middle
8,6,5,3,3,4,9,7,8,5,5,6,6,5,9,8,Male,6.333333333333333,3.3333333333333335,6.571428571428571,middle
8,9,5,3,3,3,1,0,0,0,0,0,0,1,4,0,Male,7.333333333333333,3,0.14285714285714285,left
1,0,3,2,2,1,0,7,2,0,3,5,4,5,5,6,Female,1.3333333333333333,1.6666666666666667,3,middle
5,3,3,3,3,3,3,2,8,2,2,NA,3,3,7,10,Female,3.6666666666666665,3,3.3333333333333335,middle
5,5,5,4,NA,1,4,7,7,4,3,2,3,5,8,7,Male,5,2.5,4.285714285714286,middle
6,5,5,4,3,3,6,7,9,3,5,5,7,1,8,5,Female,5.333333333333333,3.3333333333333335,6,left
5,8,8,4,4,4,6,8,8,7,6,6,8,2,6,0,Male,7,4,7,middle
7,7,7,4,3,3,6,6,7,5,5,5,5,5,9,3,Female,7,3.3333333333333335,5.571428571428571,middle
10,10,10,4,4,4,7,7,7,2,2,2,2,3,8,4,Male,10,4,4.142857142857143,middle
8,8,9,4,4,4,8,10,8,6,3,7,8,5,7,6,Female,8.333333333333334,4,7.142857142857143,middle
10,10,7,3,3,3,10,5,7,7,7,10,10,5,7,7,Male,9,3,8,middle
4,2,3,3,2,2,5,8,4,2,3,6,7,6,9,1,Male,3,2.3333333333333335,5,middle
5,5,5,4,4,4,7,7,8,6,4,7,7,4,8,0,Male,5,4,6.571428571428571,middle
6,7,5,4,3,3,8,7,9,8,6,9,8,5,9,2,Female,6,3.3333333333333335,7.857142857142857,middle
6,6,6,3,3,3,3,6,7,1,3,6,6,5,10,7,Female,6,3,4.571428571428571,middle
5,3,3,3,3,3,3,5,0,3,4,3,2,8,7,0,Male,3.6666666666666665,3,2.857142857142857,right
9,8,NA,3,4,2,3,6,10,1,3,0,3,1,2,0,Female,8.5,3,3.7142857142857144,left
3,1,3,3,2,2,0,3,10,0,0,0,0,5,5,3,Female,2.3333333333333335,2.3333333333333335,1.8571428571428572,middle
8,10,9,4,3,4,0,0,10,0,3,0,0,2,5,0,Female,9,3.6666666666666665,1.8571428571428572,middle
6,6,5,3,3,3,7,8,8,8,8,8,7,0,10,4,Female,5.666666666666667,3,7.714285714285714,left
6,7,6,4,3,3,7,8,8,4,5,5,4,8,8,5,Male,6.333333333333333,3.3333333333333335,5.857142857142857,right
7,2,4,3,3,3,6,8,10,2,6,5,4,5,10,6,Male,4.333333333333333,3,5.857142857142857,middle
9,9,9,4,4,3,8,8,8,5,5,5,5,5,10,4,Female,9,3.6666666666666665,6.285714285714286,middle
8,8,5,4,3,3,3,6,8,3,3,3,5,3,9,7,Male,7,3.3333333333333335,4.428571428571429,middle
7,8,8,4,4,3,4,9,8,4,4,6,7,3,8,1,Male,7.666666666666667,3.6666666666666665,6,middle
8,7,7,4,4,4,7,9,8,3,5,5,7,3,10,2,Male,7.333333333333333,4,6.285714285714286,middle
3,1,2,3,3,3,5,5,4,4,4,3,4,7,8,8,Female,2,3,4.142857142857143,middle
7,10,8,3,3,3,7,8,8,5,6,5,8,5,9,3,Male,8.333333333333334,3,6.714285714285714,middle
5,5,2,3,3,3,8,6,8,8,6,6,6,5,9,3,Male,4,3,6.857142857142857,middle
9,8,7,3,3,3,6,5,5,3,3,6,4,2,8,0,Male,8,3,4.571428571428571,middle
5,7,5,4,3,3,8,8,7,5,6,7,7,4,8,8,Female,5.666666666666667,3.3333333333333335,6.857142857142857,middle
2,3,1,3,2,2,8,8,8,7,7,5,5,5,7,0,Male,2,2.3333333333333335,6.857142857142857,middle
7,3,3,3,3,3,2,2,5,2,0,0,2,5,6,0,Male,4.333333333333333,3,1.8571428571428572,middle
8,7,3,3,2,3,NA,8,10,NA,5,NA,NA,NA,5,1,Female,6,2.6666666666666665,7.666666666666667,NA
10,10,10,4,4,4,3,0,0,0,0,0,3,10,6,5,Female,10,4,0.8571428571428571,right
5,8,6,3,3,3,6,8,8,5,5,7,8,5,9,5,Male,6.333333333333333,3,6.714285714285714,middle
7,5,5,3,2,2,7,7,7,5,5,6,6,6,9,6,Female,5.666666666666667,2.3333333333333335,6.142857142857143,middle
7,6,7,4,2,2,7,7,8,5,3,6,6,4,8,5,Male,6.666666666666667,2.6666666666666665,6,middle
6,6,5,3,3,2,4,8,8,3,2,3,2,3,9,0,Male,5.666666666666667,2.6666666666666665,4.285714285714286,middle
7,7,6,3,3,2,7,9,9,8,6,6,6,0,8,7,Female,6.666666666666667,2.6666666666666665,7.285714285714286,left
4,NA,7,4,3,NA,5,5,10,5,NA,NA,NA,5,10,8,Male,5.5,3.5,6.25,middle
5,8,5,3,2,3,10,5,10,0,1,3,5,5,10,5,Male,6,2.6666666666666665,4.857142857142857,middle
8,7,5,4,3,3,6,7,8,4,4,5,6,2,7,8,Male,6.666666666666667,3.3333333333333335,5.714285714285714,middle
5,7,5,3,3,2,4,8,8,2,3,3,4,5,2,1,Male,5.666666666666667,2.6666666666666665,4.571428571428571,middle
8,6,6,4,3,3,5,4,7,5,5,6,6,5,10,5,Female,6.666666666666667,3.3333333333333335,5.428571428571429,middle
10,7,10,4,4,4,10,10,10,8,8,10,7,6,8,8,Male,9,4,9,middle
7,6,6,4,4,4,3,3,7,1,1,3,4,4,4,0,Male,6.333333333333333,4,3.142857142857143,middle
4,0,0,2,3,3,2,4,2,0,0,3,3,3,4,2,Female,1.3333333333333333,2.6666666666666665,2,middle
5,5,5,3,3,3,4,3,8,3,3,2,4,5,10,5,Female,5,3,3.857142857142857,middle
5,4,5,4,4,4,3,7,5,3,3,3,1,3,5,7,Male,4.666666666666667,4,3.5714285714285716,middle
4,4,3,3,3,2,3,10,8,2,2,3,5,5,8,5,Female,3.6666666666666665,2.6666666666666665,4.714285714285714,middle
6,3,3,3,3,3,8,8,7,7,5,4,4,8,8,8,Male,4,3,6.142857142857143,right
8,8,8,4,3,3,6,7,7,6,7,7,8,3,8,8,Male,8,3.3333333333333335,6.857142857142857,middle
5,8,9,3,3,3,9,4,10,7,6,4,7,3,9,0,Male,7.333333333333333,3,6.714285714285714,middle
7,6,5,3,3,2,3,7,7,2,2,3,2,3,7,0,Female,6,2.6666666666666665,3.7142857142857144,middle
7,5,4,3,3,3,3,7,8,3,3,5,5,4,7,5,Female,5.333333333333333,3,4.857142857142857,middle
7,8,7,3,2,2,5,10,10,2,3,6,6,0,7,0,Female,7.333333333333333,2.3333333333333335,6,left
5,5,5,3,2,3,3,3,5,3,3,3,3,4,5,5,Male,5,2.6666666666666665,3.2857142857142856,middle
1,3,3,3,2,2,1,1,3,0,0,0,0,7,4,7,Male,2.3333333333333335,2.3333333333333335,0.7142857142857143,middle
1,8,7,3,2,2,5,8,9,0,2,2,2,0,6,8,Male,5.333333333333333,2.3333333333333335,4,left
8,6,7,4,3,4,7,7,7,4,5,8,8,4,9,0,Female,7,3.6666666666666665,6.571428571428571,middle
2,6,5,3,3,3,3,4,4,4,4,3,3,5,7,3,Male,4.333333333333333,3,3.5714285714285716,middle
5,5,5,3,3,3,7,8,8,4,5,3,6,3,7,3,Male,5,3,5.857142857142857,middle
0,1,2,3,2,3,3,6,10,1,2,4,5,5,3,9,Female,1,2.6666666666666665,4.428571428571429,middle
8,9,9,2,2,3,4,7,7,5,5,6,6,5,9,0,Male,8.666666666666666,2.3333333333333335,5.714285714285714,middle
9,10,7,4,4,4,7,9,9,6,6,8,8,5,10,2,Male,8.666666666666666,4,7.571428571428571,middle
8,7,5,4,4,3,7,9,9,5,5,5,7,3,9,2,Female,6.666666666666667,3.6666666666666665,6.714285714285714,middle
5,7,5,3,2,2,4,7,8,3,3,3,3,5,7,5,Male,5.666666666666667,2.3333333333333335,4.428571428571429,middle
8,8,5,4,3,3,6,8,9,7,6,8,6,5,10,4,Male,7,3.3333333333333335,7.142857142857143,middle
6,4,5,4,3,3,8,10,6,5,6,7,6,4,8,0,Male,5,3.3333333333333335,6.857142857142857,middle
10,7,8,4,3,3,9,10,7,7,6,8,8,5,10,6,Female,8.333333333333334,3.3333333333333335,7.857142857142857,middle
3,4,5,3,3,3,5,7,8,4,4,5,5,3,6,7,Female,4,3,5.428571428571429,middle
7,5,7,3,3,3,6,5,5,3,6,7,6,5,6,2,Male,6.333333333333333,3,5.428571428571429,middle
7,6,6,3,3,3,5,8,8,7,6,6,6,5,9,7,Female,6.333333333333333,3,6.571428571428571,middle
8,8,8,4,4,4,3,3,2,3,3,3,5,0,8,5,Female,8,4,3.142857142857143,left
8,7,6,3,3,4,8,9,10,7,5,4,8,6,10,8,Male,7,3.3333333333333335,7.285714285714286,middle
1,4,1,2,2,2,5,2,2,3,0,0,0,5,9,0,Female,2,2,1.7142857142857142,middle
10,10,8,4,4,4,3,6,5,2,2,4,5,0,5,5,Male,9.333333333333334,4,3.857142857142857,left
6,8,7,4,4,3,5,5,6,0,3,4,5,5,7,5,Female,7,3.6666666666666665,4,middle
8,3,5,2,2,2,NA,5,6,NA,NA,1,4,4,7,0,Female,5.333333333333333,2,4,middle
5,8,5,3,3,2,4,6,8,3,3,5,4,4,8,6,Female,6,2.6666666666666665,4.714285714285714,middle
4,5,5,3,3,2,4,3,6,5,4,7,5,4,8,5,Female,4.666666666666667,2.6666666666666665,4.857142857142857,middle
10,10,10,4,4,4,7,5,10,3,1,6,7,5,6,0,Male,10,4,5.571428571428571,middle
3,3,3,3,3,3,5,4,5,4,4,4,5,5,7,9,Male,3,3,4.428571428571429,middle
7,8,7,4,4,4,6,5,6,5,5,5,6,4,8,1,Male,7.333333333333333,4,5.428571428571429,middle
8,9,7,4,4,4,4,7,6,2,2,3,6,3,8,0,Male,8,4,4.285714285714286,middle
1,7,3,3,2,2,2,2,3,4,2,4,4,4,10,8,Female,3.6666666666666665,2.3333333333333335,3,middle
6,6,6,2,2,2,6,6,10,8,7,6,7,5,6,6,Female,6,2,7.142857142857143,middle
9,7,7,3,3,3,6,8,9,5,7,8,7,3,8,5,Male,7.666666666666667,3,7.142857142857143,middle
5,8,5,3,3,3,5,10,10,7,7,6,NA,5,10,2,Male,6,3,7.5,middle
6,6,6,4,3,3,1,6,7,1,1,1,1,3,6,0,Male,6,3.3333333333333335,2.5714285714285716,middle
6,7,8,4,4,4,5,7,8,5,5,5,6,5,9,4,Female,7,4,5.857142857142857,middle
9,8,7,4,3,3,9,9,9,8,8,7,9,7,9,9,Female,8,3.3333333333333335,8.428571428571429,middle
7,8,7,4,3,3,8,9,8,7,7,8,8,6,6,3,Female,7.333333333333333,3.3333333333333335,7.857142857142857,middle
7,8,7,4,3,3,3,4,7,2,2,3,6,5,6,0,Male,7.333333333333333,3.3333333333333335,3.857142857142857,middle
7,8,7,3,3,3,5,7,8,4,3,5,7,5,8,4,Female,7.333333333333333,3,5.571428571428571,middle
8,6,5,3,3,3,8,6,8,4,4,8,6,6,8,0,Male,6.333333333333333,3,6.285714285714286,middle
10,4,6,3,3,3,2,7,6,0,1,3,0,3,7,2,Male,6.666666666666667,3,2.7142857142857144,middle
9,6,5,3,3,3,8,9,7,4,4,6,2,7,9,4,Male,6.666666666666667,3,5.714285714285714,middle
9,9,9,4,4,4,7,7,5,3,6,7,1,3,9,0,Male,9,4,5.142857142857143,middle
8,4,5,4,4,4,5,5,9,5,5,5,5,5,10,0,Male,5.666666666666667,4,5.571428571428571,middle
8,8,5,4,4,3,4,2,2,0,4,6,NA,5,5,0,Male,7,3.6666666666666665,3,middle
0,6,3,1,1,1,1,0,1,0,0,0,0,1,0,0,Female,3,1,0.2857142857142857,left
10,3,5,2,2,1,5,2,5,2,2,2,0,5,3,0,Male,6,1.6666666666666667,2.5714285714285716,middle
7,7,7,4,3,2,8,8,8,6,7,5,2,5,8,2,Male,7,3,6.285714285714286,middle
5,3,0,3,3,1,0,6,10,0,0,0,5,5,9,5,Male,2.6666666666666665,2.3333333333333335,3,middle
8,9,9,4,4,3,9,8,9,4,7,10,10,4,8,6,Male,8.666666666666666,3.6666666666666665,8.142857142857142,middle
6,7,6,4,4,4,4,5,5,2,3,3,3,5,6,0,Female,6.333333333333333,4,3.5714285714285716,middle
10,10,10,4,4,4,7,5,10,3,5,7,4,0,7,0,Female,10,4,5.857142857142857,left
4,3,4,4,3,3,1,0,5,0,0,1,4,8,8,2,Female,3.6666666666666665,3.3333333333333335,1.5714285714285714,right
3,0,0,2,1,1,0,10,10,0,5,0,0,5,3,5,Male,1,1.3333333333333333,3.5714285714285716,middle
10,8,8,4,4,4,5,7,8,7,7,9,6,5,6,8,Male,8.666666666666666,4,7,middle
5,1,2,4,4,4,3,5,5,2,2,3,3,7,7,0,Male,2.6666666666666665,4,3.2857142857142856,middle
8,9,8,4,3,3,7,3,7,6,6,7,0,5,8,7,Male,8.333333333333334,3.3333333333333335,5.142857142857143,middle
10,10,10,4,3,2,5,6,10,5,5,5,10,5,10,6,Female,10,3,6.571428571428571,middle
5,5,3,3,3,2,8,7,9,3,3,4,4,5,8,0,Male,4.333333333333333,2.6666666666666665,5.428571428571429,middle
9,7,10,4,3,2,7,NA,7,6,5,9,8,10,4,3,Male,8.666666666666666,3,7,right
7,5,5,4,4,3,4,6,3,3,2,4,4,3,5,0,Female,5.666666666666667,3.6666666666666665,3.7142857142857144,middle
5,4,4,3,2,2,4,5,5,3,3,2,2,5,5,2,Male,4.333333333333333,2.3333333333333335,3.4285714285714284,middle
4,5,4,4,3,3,6,8,7,6,7,9,2,2,7,0,Male,4.333333333333333,3.3333333333333335,6.428571428571429,middle
7,7,9,3,3,3,10,10,8,8,5,8,8,8,9,5,Male,7.666666666666667,3,8.142857142857142,right
6,6,4,3,2,1,8,8,8,8,5,8,8,3,8,5,Male,5.333333333333333,2,7.571428571428571,middle
6,5,2,2,2,2,5,7,9,3,2,5,5,7,9,0,Male,4.333333333333333,2,5.142857142857143,middle
8,9,7,4,4,4,4,3,3,4,2,5,4,2,8,3,Female,8,4,3.5714285714285716,middle
6,3,3,3,1,2,5,5,8,2,2,2,2,5,7,5,Male,4,2,3.7142857142857144,middle
4,3,4,3,3,2,5,5,8,5,5,5,2,5,9,5,Male,3.6666666666666665,2.6666666666666665,5,middle
3,2,2,3,2,2,0,3,5,2,2,2,2,NA,10,5,Female,2.3333333333333335,2.3333333333333335,2.2857142857142856,NA
6,8,8,3,3,2,6,3,3,3,3,7,7,5,8,6,Female,7.333333333333333,2.6666666666666665,4.571428571428571,middle
5,10,8,3,3,3,9,10,10,8,6,8,10,6,10,0,Male,7.666666666666667,3,8.714285714285714,middle
7,3,5,4,2,1,3,0,3,0,3,3,2,6,8,3,Male,5,2.3333333333333335,2,middle
7,7,7,2,2,2,7,7,9,7,7,7,5,8,9,8,Female,7,2,7,right
0,1,1,2,2,2,2,2,7,1,3,4,0,5,8,6,Female,0.6666666666666666,2,2.7142857142857144,middle
8,7,7,3,3,3,9,9,10,8,7,8,8,5,9,8,Female,7.333333333333333,3,8.428571428571429,middle
5,5,5,4,3,3,3,4,5,2,2,3,4,3,5,1,Male,5,3.3333333333333335,3.2857142857142856,middle
5,5,5,3,3,3,5,5,5,5,5,5,5,0,7,0,Male,5,3,5,left
0,0,0,2,2,2,3,4,7,0,0,4,0,5,5,10,Male,0,2,2.5714285714285716,middle
6,8,5,3,3,2,8,6,9,8,8,7,7,5,10,7,Female,6.333333333333333,2.6666666666666665,7.571428571428571,middle
5,10,7,3,3,3,7,9,7,7,9,9,9,3,8,3,Male,7.333333333333333,3,8.142857142857142,middle
5,4,5,3,2,3,4,4,5,2,2,2,3,5,8,7,Male,4.666666666666667,2.6666666666666665,3.142857142857143,middle
4,5,4,3,3,3,5,8,9,4,4,5,8,8,8,9,Female,4.333333333333333,3,6.142857142857143,right
0,0,0,1,1,1,2,4,1,0,2,3,1,6,1,8,Male,0,1,1.8571428571428572,middle
6,7,7,4,4,3,7,7,8,5,5,6,6,5,8,7,Female,6.666666666666667,3.6666666666666665,6.285714285714286,middle
10,9,8,4,4,4,8,7,9,7,4,7,7,3,9,5,Female,9,4,7,middle
8,8,7,3,3,3,2,7,9,2,2,4,5,5,10,0,Female,7.666666666666667,3,4.428571428571429,middle
6,6,5,4,3,2,7,5,6,5,6,6,5,5,7,5,Female,5.666666666666667,3,5.714285714285714,middle
3,0,2,1,1,1,0,0,0,0,0,0,5,5,0,0,Male,1.6666666666666667,1,0.7142857142857143,middle
8,6,7,4,3,3,8,9,9,8,8,8,8,4,8,5,Male,7,3.3333333333333335,8.285714285714286,middle
3,2,1,3,3,3,1,2,4,0,0,0,1,5,7,4,Male,2,3,1.1428571428571428,middle
4,1,2,2,2,3,1,4,6,0,4,4,4,5,9,0,Female,2.3333333333333335,2.3333333333333335,3.2857142857142856,middle
8,10,8,4,3,3,9,9,9,7,6,7,7,5,6,8,Male,8.666666666666666,3.3333333333333335,7.714285714285714,middle
7,9,5,4,4,4,2,5,7,4,5,NA,0,0,8,7,Male,7,4,3.8333333333333335,left
5,5,4,3,2,2,1,5,10,7,10,8,NA,10,4,8,Female,4.666666666666667,2.3333333333333335,6.833333333333333,right
6,7,7,4,4,2,7,5,8,7,6,4,4,6,9,0,Male,6.666666666666667,3.3333333333333335,5.857142857142857,middle
2,3,4,3,3,3,0,4,5,0,0,0,0,2,2,5,Female,3,3,1.2857142857142858,middle
3,4,5,4,2,4,2,4,4,2,6,5,5,8,9,5,Female,4,3.3333333333333335,4,right
3,5,5,3,3,3,2,5,6,2,2,5,5,5,6,7,Male,4.333333333333333,3,3.857142857142857,middle
5,8,6,3,3,3,8,8,10,5,5,6,5,2,9,7,Male,6.333333333333333,3,6.714285714285714,middle
6,4,3,4,3,4,5,8,8,0,2,0,9,5,8,3,Female,4.333333333333333,3.6666666666666665,4.571428571428571,middle
1,1,3,3,2,2,1,2,8,0,1,0,5,6,7,4,Male,1.6666666666666667,2.3333333333333335,2.4285714285714284,middle
6,8,7,4,3,3,1,3,4,5,5,7,4,0,8,5,Male,7,3.3333333333333335,4.142857142857143,left
7,8,4,3,3,2,5,7,10,7,7,7,7,0,10,8,Female,6.333333333333333,2.6666666666666665,7.142857142857143,left
5,5,3,3,3,3,1,0,3,0,2,3,4,5,5,7,Male,4.333333333333333,3,1.8571428571428572,middle
8,6,6,3,3,3,7,4,4,4,4,4,4,NA,NA,8,Female,6.666666666666667,3,4.428571428571429,NA
5,5,3,3,3,3,5,5,5,5,5,5,0,7,8,0,Male,4.333333333333333,3,4.285714285714286,middle
5,7,5,4,3,3,3,6,8,2,2,5,5,3,7,1,Female,5.666666666666667,3.3333333333333335,4.428571428571429,middle
8,8,8,4,4,4,8,8,10,6,6,8,6,4,8,8,Male,8,4,7.428571428571429,middle
0,0,0,4,3,2,0,1,0,0,0,0,0,5,1,2,Female,0,3,0.14285714285714285,middle
7,7,7,3,2,2,5,5,8,4,4,5,5,5,8,7,Female,7,2.3333333333333335,5.142857142857143,middle
6,2,1,4,3,2,6,8,8,4,4,5,5,5,8,6,Male,3,3,5.714285714285714,middle
5,4,5,2,2,2,3,8,9,1,1,4,9,6,8,0,Male,4.666666666666667,2,5,middle
7,7,8,3,3,3,5,4,8,2,2,2,2,4,5,4,Male,7.333333333333333,3,3.5714285714285716,middle
3,2,0,4,3,2,3,7,10,0,0,0,2,7,6,10,Male,1.6666666666666667,3,3.142857142857143,middle
7,7,7,4,3,3,6,7,7,6,6,7,7,5,9,8,Female,7,3.3333333333333335,6.571428571428571,middle
9,1,1,4,3,2,9,8,7,3,3,3,2,5,8,4,Male,3.6666666666666665,3,5,middle
5,8,7,3,3,3,8,8,8,5,5,5,8,4,8,2,Female,6.666666666666667,3,6.714285714285714,middle
10,10,9,4,4,4,4,5,5,2,2,3,5,3,9,2,Male,9.666666666666666,4,3.7142857142857144,middle
7,6,5,3,3,3,5,6,8,4,6,4,5,4,6,5,Female,6,3,5.428571428571429,middle
8,7,6,4,4,4,10,8,10,6,5,5,8,5,10,8,Female,7,4,7.428571428571429,middle
